Trimestre,Categoria,Tipo,Evento,DataInicio,DataFim,Cor,Subtipo,Bloco-Contrato
Trim 2,Governança,,Ciclo GAP,2024-05-31 00:00:00,,666666,Governança,SUDOESTE DE TARTARUGA VERDE-Tartaruga Verde_P5
Trim 2,Governança,,COMEXP,2024-04-25 00:00:00,,666666,Governança,ARAM-Aram_P6
Trim 2,Governança,,COMEXP,2024-05-29 00:00:00,,666666,Governança,SUDOESTE DE TARTARUGA VERDE-Tartaruga Verde_P5
Trim 2,Governança,,GRLOC,2024-04-18 00:00:00,,666666,Governança,ARAM-Aram_P6
Trim 2,Governança,,GRLOC,2024-05-02 00:00:00,,666666,Governança,SUDOESTE DE TARTARUGA VERDE-Tartaruga Verde_P5
Trim 2,Governança,,GRLOC,2024-06-14 00:00:00,,666666,Governança,1-SPS-108-Aram_P6
Trim 2,Governança,,GRLOC,2024-06-14 00:00:00,,666666,Governança,ARAM-Aram_P6
Trim 2,Governança,,GRLOC,2024-06-26 00:00:00,,666666,Governança,ARAM-Aram_P6
Trim 2,Governança,,GRT,2024-04-17 00:00:00,,666666,Governança,SUDOESTE DE TARTARUGA VERDE-Tartaruga Verde_P5
Trim 2,Governança,,GRT,2024-05-07 00:00:00,,666666,Governança,1-SPS-108-Aram_P6
Trim 2,Governança,,GRT,2024-05-07 00:00:00,,666666,Governança,ARAM-Aram_P6
Trim 2,Governança,,GRT,2024-06-06 00:00:00,,666666,Governança,ÁGUA-MARINHA-ÁGUA-MARINHA_OPP1
Trim 2,Governança,,GRT,2024-06-10 00:00:00,,666666,Governança,ARAM-Aram_P6
Trim 2,Licenciamento Ambiental,, Arquivamento/Indeferimento de Processo,2016-04-20 00:00:00,,666666,_PERFURAÇÃO BM-BAR-1,1-MAS-36-BM-BAR-1
Trim 2,Licenciamento Ambiental,, Arquivamento/Indeferimento de Processo,2016-04-20 00:00:00,,666666,_PERFURAÇÃO BM-BAR-1,BM-BAR-1-BM-BAR-1
Trim 2,Licenciamento Ambiental,, Arquivamento/Indeferimento de Processo,2022-04-13 00:00:00,,666666,_PERFURAÇÃO BM-PAMA-8,PAMA-M-192-BM-PAMA-8
Trim 2,Licenciamento Ambiental,, Arquivamento/Indeferimento de Processo,2022-04-13 00:00:00,,666666,_PERFURAÇÃO BM-PAMA-8,PAMA-M-194-BM-PAMA-8
Trim 2,Licenciamento Ambiental,, Emissão da 1ª LO,2013-05-20 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-663-BM-POT-16
Trim 2,Licenciamento Ambiental,, Emissão da 1ª LO,2013-05-20 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-665-BM-POT-17
Trim 2,Licenciamento Ambiental,, Emissão da 1ª LO,2013-05-20 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-760-BM-POT-16
Trim 2,Licenciamento Ambiental,, Emissão da 1ª LO,2013-05-20 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-853-BM-POT-17
Trim 2,Licenciamento Ambiental,, Emissão da 1ª LO,2013-05-20 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-855-BM-POT-17
Trim 2,Licenciamento Ambiental,, Emissão da 1ª LO,2027-05-11 00:00:00,,666666,PERFURAÇÃO POT-M-859,POT-M-859-POT-M-859_R15
Trim 2,Licenciamento Ambiental,, Emissão da LP,2012-05-22 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-663-BM-POT-16
Trim 2,Licenciamento Ambiental,, Emissão da LP,2012-05-22 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-665-BM-POT-17
Trim 2,Licenciamento Ambiental,, Emissão da LP,2012-05-22 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-760-BM-POT-16
Trim 2,Licenciamento Ambiental,, Emissão da LP,2012-05-22 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-853-BM-POT-17
Trim 2,Licenciamento Ambiental,, Emissão da LP,2012-05-22 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-855-BM-POT-17
Trim 2,Licenciamento Ambiental,, Emissão de Anuência,2014-04-24 00:00:00,,666666,Inclusão Poço Umbu,POT-M-663-BM-POT-16
Trim 2,Licenciamento Ambiental,, Emissão de Anuência,2023-05-03 00:00:00,,666666,Inclusão Poço Pitu Oeste,1-RNS-158-BM-POT-17
Trim 2,Licenciamento Ambiental,, Entrada em Operação da 1ª UEP (determinístico),2013-05-23 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-663-BM-POT-16
Trim 2,Licenciamento Ambiental,, Entrada em Operação da 1ª UEP (determinístico),2013-05-23 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-665-BM-POT-17
Trim 2,Licenciamento Ambiental,, Entrada em Operação da 1ª UEP (determinístico),2013-05-23 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-760-BM-POT-16
Trim 2,Licenciamento Ambiental,, Entrada em Operação da 1ª UEP (determinístico),2013-05-23 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-853-BM-POT-17
Trim 2,Licenciamento Ambiental,, Entrada em Operação da 1ª UEP (determinístico),2013-05-23 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-855-BM-POT-17
Trim 2,Licenciamento Ambiental,, Entrada em Operação da 1ª UEP (determinístico),2027-05-12 00:00:00,,666666,PERFURAÇÃO POT-M-859,POT-M-859-POT-M-859_R15
Trim 2,Licenciamento Ambiental,, Protocolo de abertura do processo,2020-04-23 00:00:00,,666666,_PERFURAÇÃO POT-M-762,POT-M-762-POT-M-762_R15
Trim 2,Licenciamento Ambiental,, Protocolo de abertura do processo,2020-06-01 00:00:00,,666666,PERFURAÇÃO FZA-M-59,FZA-M-59-FZA-M-59_R11
Trim 2,Licenciamento Ambiental,, Protocolo de abertura do processo,2020-06-08 00:00:00,,666666,PERFURAÇÃO POT-M-952,POT-M-952-POT-M-952_R15
Trim 2,Licenciamento Ambiental,, Protocolo de abertura do processo,2022-04-28 00:00:00,,666666,PERFURAÇÃO BM-BAR-1 2022,1-MAS-36-BM-BAR-1
Trim 2,Licenciamento Ambiental,, Protocolo de abertura do processo,2022-04-28 00:00:00,,666666,PERFURAÇÃO BM-BAR-1 2022,BM-BAR-1-BM-BAR-1
Trim 2,Licenciamento Ambiental,, Protocolo de Estudo Ambiental,2024-06-13 00:00:00,,666666,PERFURAÇÃO POT-M-859,POT-M-859-POT-M-859_R15
Trim 2,Licenciamento Ambiental,, Protocolo de Estudo Ambiental,2024-06-29 00:00:00,,666666,PERFURAÇÃO POT-M-952,POT-M-952-POT-M-952_R15
Trim 2,Licenciamento Ambiental,, Publicação do edital de convocações das APs/RPs,2025-04-18 00:00:00,,666666,PERFURAÇÃO POT-M-859,POT-M-859-POT-M-859_R15
Trim 2,Licenciamento Ambiental,, Realização das APs/RPs,2025-06-02 00:00:00,,666666,PERFURAÇÃO POT-M-859,POT-M-859-POT-M-859_R15
Trim 2,Licenciamento Ambiental,, Realização das APs/RPs,2025-06-30 00:00:00,,666666,PERFURAÇÃO POT-M-952,POT-M-952-POT-M-952_R15
Trim 2,Parceria,,WS,2024-04-09 00:00:00,,666666,Parceria,ÁGUA-MARINHA-ÁGUA-MARINHA_OPP1
Trim 2,Parceria,,WS,2024-04-11 00:00:00,,666666,Parceria,ALTO DE CABO FRIO CENTRAL-Alto de Cabo Frio Central_P3
Trim 2,Parceria,,WS,2024-04-24 00:00:00,,666666,Parceria,ÁGUA-MARINHA-ÁGUA-MARINHA_OPP1
Trim 2,Parceria,,WS,2024-04-25 00:00:00,,666666,Parceria,ÁGUA-MARINHA-ÁGUA-MARINHA_OPP1
Trim 2,Parceria,,WS,2024-05-29 00:00:00,,666666,Parceria,ÁGUA-MARINHA-ÁGUA-MARINHA_OPP1
